transaction_id,payer_id,amount,payment_type,region,timestamp,flagged_manual
TXN00000001,PAY000263,1915.82,credit,Alberta,2024-01-01 00:28:52,False
TXN00000002,PAY001188,2347.5,benefit,Ontario,2024-01-01 05:30:30,False
TXN00000003,PAY001415,172.77,refund,Alberta,2024-01-01 10:11:52,False
TXN00000004,PAY000375,1114.73,benefit,BC,2024-01-01 14:24:18,False
TXN00000005,PAY001181,2344.78,benefit,Quebec,2024-01-01 15:47:25,False
TXN00000006,PAY001549,3346.17,benefit,Prairies,2024-01-01 16:57:17,False
TXN00000007,PAY000923,837.73,refund,BC,2024-01-01 17:50:54,False
TXN00000008,PAY000181,2150.37,benefit,BC,2024-01-01 21:11:25,False
TXN00000009,PAY001615,3429.64,benefit,Ontario,2024-01-02 03:35:57,False
TXN00000010,PAY001151,2947.98,benefit,Quebec,2024-01-02 05:09:40,False
TXN00000011,PAY000099,3046.28,benefit,Prairies,2024-01-02 07:06:16,False
TXN00000012,PAY000384,166.05,refund,Alberta,2024-01-02 07:25:00,False
TXN00000013,PAY000203,1379.74,credit,Alberta,2024-01-02 08:59:10,False
TXN00000014,PAY000538,2048.33,benefit,Ontario,2024-01-02 12:10:03,False
TXN00000015,PAY000186,1083.75,refund,BC,2024-01-02 15:26:48,False
TXN00000016,PAY001424,2741.02,benefit,BC,2024-01-02 16:49:50,False
TXN00000017,PAY001777,434.4,refund,Ontario,2024-01-02 17:34:08,False
TXN00000018,PAY000054,697.0,refund,Quebec,2024-01-02 18:36:20,False
TXN00000019,PAY001942,842.75,benefit,Atlantic,2024-01-02 20:07:02,False
TXN00000020,PAY000390,872.08,credit,Quebec,2024-01-03 00:06:52,False
TXN00000021,PAY001507,3406.54,benefit,Atlantic,2024-01-03 03:36:23,False
TXN00000022,PAY000775,524.91,credit,Alberta,2024-01-03 07:26:47,False
TXN00000023,PAY001593,2166.72,credit,Quebec,2024-01-03 10:03:01,False
TXN00000024,PAY001831,1853.13,benefit,Prairies,2024-01-03 10:23:10,False
TXN00000025,PAY000580,1044.38,refund,Ontario,2024-01-03 12:33:53,False
